,House,Type_transaction,Huurprijs,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Bergruimte_Schuur/berging,Garage_Soort garage,Text_house,Servicekosten,VBO makelaar,Bouw_Bouwperiode,Parkeergelegenheid_Soort parkeergelegenheid,VGM makelaar,TAO makelaar,Energie_Energielabel,Energie_Isolatie,Buitenruimte_Totale oppervlakte,Bergruimte_Voorzieningen,prijsverloop_date,LMV makelaar,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Buitenruimte_Achtertuin,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,VvE_checklist_VvE,VvE_checklist_VvE bijdrage,Buitenruimte_Balkon/dakterras,Buitenruimte_Plaats,Oppervlakten_en_inhoud_Overige inpandige ruimte,Garage_Capaciteit,Garage_Voorzieningen,Buitenruimte_Geen tuin,Bergruimte_Isolatie,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,Garage_Isolatie,Buitenruimte_Zijtuin,Buitenruimte_Patio/atrium
188,"Langstraat 77 N, 3771 BC Barneveld",In verhuur genomen,"€ 728,- p.m.","€ 728,-","€ 13,-",Per datum 01-05-2021,9,Midden Nederland Makelaars B.V.,Kampstraat 32,3771 AV  Barneveld,0342-423400,barneveld@mnm.nl,56 m²,4 m²,168 m³,3 kamers (2 slaapkamers),1,"Toilet, Douche",1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,uitstekend,uitstekend,Appartement,Galerijflat,bestaande bouw,2013,In centrum,Geen tuin,Vrijstaand hout,Geen garage,"Te huur: Keurig afgewerkt 3-KAMER APPARTEMENT op een prachtige locatie, midden in het centrum van Barneveld.
Dit appartementencomplex is in 2013 opgeleverd en voorzien van een liftinstallatie. Het appartement is voorzien van een compleet ingerichte keuken. De buitenberging is bereikbaar via het gemeenschappelijke dakterras.
Indeling:
Hal met intercominstallatie, woonkamer met Frans balkon, open keuken voorzien van inbouwapparatuur, slaapkamer, badkamer voorzien van douche, toilet en berging met CV en wasmachine-aansluiting, tweede slaapkamer.
Huurprijs € 728,31 per maand excl. gas/water/elektra en 
servicekosten € 60,00 per maand.
- Aanvaarding 1 mei 2021
- Minimale huurperiode 1 jaar
- Minimum (gezamenlijk) bruto jaarinkomen € 33.250,00
- Borgstelling tweemaal de maandhuur
- Geschikt voor 1-2 pers huishoudens
- Toetsing BKR gegevens aan te leveren door kandidaat huurder
- Onder voorbehoud van gunning door verhuurder","€ 60,-",-,-,Openbaar parkeren,-,-,-,Volledig geïsoleerd,-,Voorzien van elektra,-,-,-,-,-,-,"Periodieke bijdrage, Vergadering VvE, Onderhoudsplan, Opstalverzekering, Inschrijving KvK, Reservefonds",-,-,-,-,-,-,-,-,-,-,-,-,-
189,"Apollolaan 34 b, 6411 BB Heerlen",In verhuur genomen,"€ 729,- p.m.","€ 729,-","€ 18,69",Per datum 15-03-2021,36,-,Boschstraat 23 c,6211 AS  Maastricht,(+31) 43 208 20 20,info@unovgm.nl,39 m²,-,99 m³,2 kamers (1 slaapkamer),1,"Wastafelmeubel, Inloopdouche, Toilet, Wastafel",1 woonlaag,Mechanische ventilatie en lift,Stadsverwarming,Stadsverwarming,-,uitstekend,goed,Appartement,Portiekflat,nieuwbouw,2021,In centrum en vrij uitzicht,Geen tuin,-,Geen garage,"TE HUUR:
Residentieel 2 kamer appartement boven winkelcentrum 't Loon in centrum Heerlen met buitenruimte Wonen in Residentie Apollolaan betekent thuiskomen in luxe! Direct tegen de Heerlense binnenstad, in de buurt van het lommerrijke Geleenbeekdal en Parkstad Theater Heerlen, aan de Apollolaan wordt de Residentie Apollolaan herontwikkeld. Het residentiële complex, dat geïnspireerd is op Amerikaanse architectuur, wordt gekenmerkt door haar ruime opzet en unieke ligging tegen boven winkelcentrum 't Loon.
BESCHRIJVING APPARTEMENT:
Parkeergarage:
- parkeren middels bewoners tarief in de ondergelegen parkeergarage van Q-Park;
Algemene ruimte:
- Via de zeer ruime en stijlvolle hoofdingang van de Homerusflat loopt u naar het liftportaal van alwaar een van de twee liftinstallaties u naar de gewenste verdieping brengt. Via de hoofdentree kunt u ook direct het winkelcentrum betreden.
- De hoofdentree biedt toegang tot de brievenbussen, lift, en de bergingen op de begane grond;
Appartement (gelegen op 2e verdieping)
- Woonkamer met luxe PVC vloer (houtmotief) die toegang geeft tot het ruime balkon! Het balkon geeft een uitgestrekt en verreikend zicht op zowel de stad Heerlen alsook de omliggende natuurgebieden. Hier geniet u optimaal rust en ruimte!
- Meterkast met voldoende groepen en eigen meters voor stadsverwarming, elektra en water
- Berging met aansluiting wasapparatuur.
- Volledig betegelde royale en luxe afgewerkte badkamer met inloopdouche, designradiator, vaste wastafel met wastafelmeubel, levensgrote wandspiegel en vrijhangend toilet;
- Luxe en stijlvolle keuken voorzien van diverse apparatuur (Whirlpool) te weten een koelkast, combimagnetron/oven, vaatwasser, kookplaat en design afzuigkap.
- Grote slaapkamer van circa 10 m2;
Afwerking:
- Wanden en plafond zijn voorzien van glad stucwerk en schilderwerk
- Alle vloeren zijn afgewerkt met een hoogwaardige pvc vloerafwerking
- Keuken voorzien van hoogwaardige Whirlpool apparatuur
Overige:
- De minimale huurperiode bedraagt 12 maanden;
- Vermelde prijs is exclusief servicekosten;
- Vermelde prijs is exclusief kosten voor stadsverwarming, water, elektra, internet en tv;
- Optioneel kan een berging op begane grond worden gehuurd ter grootte van 4 m². Prijs 35,- euro per maand.","€ 50,-",-,-,Betaald parkeren en parkeergarage,-,UNO vgm,A (einddatum: 05-12-2030),-,-,-,-,-,-,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
190,"Van Heuven Goedhartlaan 2 -17, 3527 CK Utrecht",In verhuur genomen,"€ 730,- p.m.","€ 730,-","€ 30,42",Per datum 01-04-2021,36,-,Amsterdamsestraatweg 562,3553 EP  Utrecht,030-2230231,info@domvast.nl,24 m²,-,55 m³,1 kamer (1 slaapkamer),1,"Douche, Wastafel",1 woonlaag,Lift,Blokverwarming,Centrale voorziening,-,goed,goed,Appartement,Studentenkamer,bestaande bouw,1960,In woonwijk,Geen tuin,Inpandig,Geen garage,"In een studenten complex aan de van Heuven Goedhartlaan in Utrecht bieden wij een zelfstandige studio aan van 24m2.
De binnenstad is 10 minuten fietsen en 5 minuten met de sneltram. De diverse uitvalswegen zijn gemakkelijk bereikbaar, terwijl een groot winkelcentrum en openbaar vervoer zich op loopafstand bevinden. Park Transwijk, waar ook festivals worden georganiseerd, ligt eveneens op loopafstand, evenals een sportschool en sportvelden.
Extra voorzieningen
Het complex beschikt over twee fietsenstallingen. Aan de voorzijde is een buitenstalling welke is afgesloten met een hek. Inpandig is er de mogelijkheid om je fiets te stallen. Beide stallingen zijn enkel met een sleutel van het complex te betreden. Daarnaast biedt het complex de studenten de mogelijkheid om hun was te doen in de daarvoor bestemde wasruimte. Dit is geheel kosteloos en wasmiddel is aanwezig. Tot slot is er dagelijks een conciërge aanwezig.
Bijzonderheden:
- De huurprijs is € 730,00
- Servicekosten € 140,00 (incl gebruik wasmachines/drogers, g/w/e, internet)
- Roken en huisdieren niet toegestaan.
- Waarborgsom gelijk aan een maand huur
- Ingangsdatum per 1 april 2021
Om een bezichtiging in te plannen dient u zich vooraf in te schrijven via onze website.
Na uw inschrijving kunt u een mail sturen met uw naam-telefoonnummer en het object dat u wilt bezichtigen. Telefonisch een afspraak inplannen is niet mogelijk.","€ 140,-",Domvast B.V.,-,Openbaar parkeren,-,-,B (einddatum: 05-12-2028),Dubbel glas en volledig geïsoleerd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
191,"Keppelstraat 1 a, 9101 MT Dokkum",In verhuur genomen,"€ 730,- p.m.","€ 730,-","€ 16,22",In overleg,18,-,Keppelstraat 11,9101 MT  Dokkum,0519-294598,info@regiomakelaardij.nl,45 m²,-,150 m³,4 kamers (1 slaapkamer),1,"Wastafelmeubel, Wasmachineaansluiting, Toilet, Douche",3 woonlagen,Tv kabel,C.V.-Ketel,C.V.-Ketel,-,uitstekend,uitstekend,Appartement,Bovenwoning,bestaande bouw,1900,In centrum,Zonneterras,-,Geen garage,"Nette bovenwoning in het centrum van Dokkum. De woning is geheel gerenoveerd in 2021 en is volledig geïsoleerd, waardoor je lage maandelijkse energielasten hebt. Het appartement heeft één slaapkamer en een fraaie badkamer met een toilet, wastafel, designradiator, douche en witgoedaansluiting. Tevens beschikt de woning over een ruim beschut dakterras van maar liefst 35 m².
Bijzonderheden:
- De bovenwoning is compleet gerenoveerd in 2021 
- Beschikbaar per 1 april
- Huurprijs is €730,- per maand, excl. gas, water en licht
- Huursubsidie mogelijk
- 1 maand borg
- Ruim dakterras van 35 m²
- In de binnenstad nabij vele voorzieningen
- Eigen entree met bergruimte voor het stallen van fietsen",-,-,-,Openbaar parkeren en betaald parkeren,-,-,-,Volledig geïsoleerd,35 m²,-,-,Regiomakelaardij B.V.,35 m²,-,-,Verzorgd,-,-,-,-,-,-,-,-,-,-,-,-,-,-
192,"Pr Bernhardstraat 12, 4631 LM Hoogerheide",In verhuur genomen,"€ 730,- p.m.","€ 730,-","€ 730,-",In overleg,18,-,Kaaistraat 6,4651 BN  Steenbergen,0167-563301,info@koetsenruyter.nl,1 m²,-,2 m³,3 kamers (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Galerijflat,bestaande bouw,1984,-,Geen tuin,-,Geen garage,"Entree appartement via algemene centrale hal.
Appartement :
Hal met toegang tot woonkamer en betegeld toilet.
Woonkamer voorzien van laminaat vloer en toegang tot balkon.
Open keuken met keukeninrichting
Tussenkamer met toegang tot slaapkamer.
Slaapkamer voorzien van parketvloer en toegang tot badkamer.
Badkamer voorzien van tegel wandafwerking, plavuizen vloer, douche, vaste wastafel en 2e toilet. 
Huurvoorwaarden :
* Servicekosten € 30,-- per maand. 
* Per 1 mei 2021beschikbaar. 
* de waarborgsom bedraagt 1 maal de maandelijkse huurverplichting;
* de huurprijs is excl. voorschot gas, water en elektra.
* Huisdieren in overleg met de verhuurder.
* aan de hand van o.a. uw inkomensgegevens zal worden beoordeeld in hoeverre u voor huur van deze woning in aanmerking komt. 
* het wel of niet toekennen van de woning is ter (eind)beoordeling van verhuurder.
* Heeft u interesse reageer dan of via email info@koetsenruyter.nl of telefonisch tijdens kantoortijden van 9.00  tot 17.00 uur.",-,-,-,-,-,-,-,-,-,-,-,Koetsenruyter Makelaardij b.v.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,"Stationsplein 17 C, 6001 CH Weert",In verhuur genomen,"€ 730,- p.m.","€ 730,-","€ 15,21",Per datum 01-05-2021,13,Saelmans Makelaardij,Onzelievevrouwestraat 2,6004 AC  Weert,0495-533893,info@saelmans.nl,48 m²,-,264 m³,2 kamers (1 slaapkamer),1,"Toilet, Douche, Wastafel",2 woonlagen,-,-,-,-,uitstekend,uitstekend,Appartement,Maisonnette,bestaande bouw,2013,In centrum,Geen tuin,-,Geen garage,"- Modern afgewerkt maisonnette in de directe nabijheid van het stadscentrum en het Centraal Station van Weert. 
- Gerealiseerd in 2020
Indeling
Entree
Via de gezamenlijke ingang komt je de corridor binnen met in totaal 6 maisonnettes. Deze maisonnette ligt als vierde aan de linkerkant. Met de automatische lampen zijn er geen lichtschakelaars meer nodig! 
Begane grond
De maisonnette is voorzien van verschillende automatische lampen en is volledig afgewerkt. De houtlook vinylvloer geeft een rustige uitstraling en is gelegd over de gehele begane grond. De woonkamer beschikt over een groot raam waarmee er genoeg zonlicht binnen kan komen als de zonsverduistering omhoog is. Via de trap in de woonkamer is de bovengelegen slaapkamer bereikbaar. 
Badkamer
De badkamer is voorzien van een inloopdouche, hangcloset, wasbak met fontein en een spiegel met kastjes. 
Keuken
De keuken is voorzien van een koelkast met vriesvak, gootsteen met kraan, inductiekookplaat en afzuigkap. Door de open opstelling biedt de rest van de kamer veel ruimte. Verder zijn er veel opslagmogelijkheden door de kastjes in de keuken.
Verdieping
De ruime slaapkamer beschikt al over een bed en een kledingkast. 
Huurkenmerken:
Huurprijs: € 730,-- p.m.
Servicekosten: € 20,-- p.m.
Waarborgsom: € 1.460,00 (eenmalig)
Aanvaarding 01 mei 2021
Huisdieren niet toegestaan
Minimaal huurtermijn: 25 maanden
Inschrijven verplicht!","€ 20,-",-,-,"Openbaar parkeren, betaald parkeren, parkeergarage en parkeervergunningen",-,-,A (einddatum: 31-12-2020),"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
194,"Marshalllaan 376, 3527 TW Utrecht",In verhuur genomen,"€ 735,- p.m.","€ 735,-","€ 17,93",Per datum 01-04-2021,53,-,Markerstraat 14,3083 NB  Rotterdam,088 3081000,welkom@verhuurtbeter.nl,41 m²,-,107 m³,2 kamers (1 slaapkamer),-,-,1 woonlaag,-,-,-,-,goed tot uitstekend,goed tot uitstekend,Appartement,Bovenwoning,bestaande bouw,1960,In woonwijk,Geen tuin,-,Geen garage,"Een 41m2 tweekamerappartement op locatie ""Kanaleneiland-Noord"" in Utrecht
PROJECT
Ons complex aan Kanaleneiland bestaat uit vier gebouwen in 3 straten: Auriollaan, Marshalllaan en Monnetlaan. Het gaat om 2, 3 en 4 kamer appartementen welke in 2017 reeds volledig gerenoveerd zijn en luxe zijn afgewerkt. Het energielabel is A.
 
Wonen aan Kanaleneiland is zowel geschikt voor ouderen, gezinnen, starters en studenten. Wij verwelkomen tevens ook woningdelers tot een maximum van twee personen, mits deze bereid zijn twee of drie maanden borg te betalen (afhankelijk van bijbaan). Studenten dienen tevens ook garantstelling te regelen via bijvoorbeeld hun ouders, broer, zus etc.
 
WONING
 
De woning heeft een keuken met alle apparatuur: vaatwasser, combi oven/magnetron, inductie kookplaat met afzuigkap en een koelkast met vriesvak. De badkamer is voorzien van een wastafel met douche en scheidingswand. Verder zijn zowel de badkamer als het toilet volledig betegeld.
 
Een 2- kamer appartement bevat zowel een woonkamer als slaapkamer, met aparte keuken en badkamer. De keuken bevindt zich aan het einde van de hal met de woonkamer en slaapkamer aan uw zijden. De badkamer heeft een directe verbinding met de slaapkamer.
 
Een 3- kamer appartement bevat twee slaapkamers en een woonkamer. Ook hier is de keuken apart gebouwd, echter is de badkamer afzonderlijk van de slaapkamers. Verder beschikt u zich over een zeer ruime woonkamer en twee slaapkamers van vrijwel dezelfde grootte.
 
Een 4- kamer appartement hebben wij tot op heden nog niet mee mogen maken, ook al zegt de plattegrond anders :) De meeste 3- kamer appartementen waren in het verleden 4- kamer appartementen, echter is een muur afgebroken om zo een lange, ruime woonkamer te creëren. Wanneer een 4- kamer appartement van toepassing is, zal de tekst aangepast worden, zodat wij u zo goed mogelijk inlichten over de indeling van de woning.","€ 45,-",-,-,-,-,Verhuurtbeter.nl,-,-,-,-,10-04-2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
195,"Oerlesestraat 216 D, 5025 DE Tilburg",In verhuur genomen,"€ 737,- p.m.","€ 800,-","€ 16,67",Per datum 01-05-2021,6,-,De Hovel 30 19,5051 NR  Goirle,0135-812121,info@zebregs.nl,48 m²,-,140 m³,2 kamers,2,"2 Toiletten, 2 Douches, 2 Wastafels",2 woonlagen,-,C.V.-Ketel,-,-,goed,goed,Appartement,Bovenwoning,bestaande bouw,0,Aan drukke weg en in centrum,Geen tuin,-,Parkeerplaats,"Op deze top locatie tussen het centrum, uitvalswegen en openbaar vervoer, ligt deze geheel vernieuwde studio.
De studio beschikt over een nette eigen badkamer, keuken, is geheel gestuct en voorzien van een nette grijze vloer. 
Algemene ingang met trapopgang naar studio.
Zeer lichte doorzon woonkamer met toegang naar balkon.
Nette keuken voorzien van 4-pits kookplaat, afzuigkap en koelkast.
Trap naar 2e verdieping waar zich de slaapkamer en badkamer bevindt.
Nette badkamer voorzien van douche, wastafel en toilet.
Slaapkamer met ruime raampartij waardoor dit een lekker lichte slaapkamer is. 
Bijzonderheden:
- huurperiode: minimaal 1 jaar
- huurcontract: jaarcontract volgens het R.O.Z - model
- servicekosten voor huurder: € 237,86
- Gas, water en licht zijn voor rekening van huurder
- T.v. en internet rekening zijn voor rekening van huurder. 
- aanvaarding 1-05-2021
Er kunnen geen rechten worden ontleend aan bovenstaande informatie","€ 238,-",-,1960-1970,Op eigen terrein,-,Twan Zebregs Onroerend Goed Bemiddeling,C (einddatum: 21-12-2030),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
196,"Jan Voermanstraat 16, 7556 KT Hengelo",In verhuur genomen,"€ 738,- p.m.","€ 1.000,-","€ 12,50",Per datum 01-04-2021,45,-,Takenhofplein 1,6538 SZ  Nijmegen,(+31) 88 200 70 00,nijmegen@nmg.nl,80 m²,-,230 m³,5 kamers (4 slaapkamers),1,"Douche, Wastafel",3 woonlagen,-,-,-,-,goed,uitstekend,Appartement,Galerijflat,bestaande bouw,1967,"Aan park, in woonwijk, vrij uitzicht en open ligging",Geen tuin,Inpandig,Geen garage,"In de Nieuwe Es wordt per 1 april a.s. dit in 2018 gerenoveerde 5-kamer appartement met eigen ingang aangeboden. 
Middels de eigen entree bereikt u via een paar traptreden de overloop met berg-/wasruimte, meterkast, woonkamer en de open keuken (v.v. kookplaat, afzuigkap en aansluiting vaatwasser) met toegang tot het balkon. Vanuit de hal gaat u met een trap naar de volgende verdieping waar zich twee slaapkamers en het toilet bevinden. Met nog een trap naar boven bereikt u de badkamer (douche) en de 3de en 4de slaapkamer. Op de begane grond bevindt zich de gezamenlijke fietsenberging. Vrij parkeren achter en naast het gebouw. De woning is volledig voorzien van kunststof kozijnen, draai/kiep-ramen en dubbel glas.
N.B.: geplaatste foto's tonen een vergelijkbaar appartement. Er zijn nog geen interieurfoto's beschikbaar. 
Bijzonderheden: 
* de minimale huurtermijn bedraagt 2 jaar
* er wordt een waarborgsom verlangd van 2 x de maandhuur
* de inkomenseis is minimaal € 2.800,- bruto per maand 
* voorschot servicekosten € 25,- per maand 
* de woning heeft een eigen royale bergruimte 
* het balkon is gesitueerd op het zuidoosten en biedt een prachtig uitzicht op de nieuw aangelegde groenvoorziening.
Vragen over deze woning?
Voor vragen over deze woning kunt u contact opnemen met ons kantoor in Nijmegen via 088-2007020.
Interesse in deze woning?
Schrijft u zich kosteloos en vrijblijvend in op onze website nmgwonen.nl. Vervolgens kunt u bij de woning klikken op de knop [REAGEER]: u geeft hiermee aan dat u interesse hebt in de woning. Indien er meerdere kandidaten gereageerd hebben, wordt de woning aangeboden aan de best passende kandidaat, waarbij wij de kandidaten beoordelen op volgorde van binnenkomst.
Om in aanmerking te komen voor deze woning dient het bruto maandinkomen minimaal 4x de huurprijs per maand te bedragen. Het inkomen van een eventuele partner mag voor de helft meegerekend worden. Er zal een inkomenstoets plaatsvinden. Voor alle toewijzingscriteria verwijzen wij u naar onze website.
Indien u zich inschrijft via onze website nmgwonen.nl zullen wij u op basis van de verstrekte informatie automatisch per e-mail informeren over de woningen die beschikbaar komen en voldoen aan uw woonwensen. 
Alle informatie is met de grootst mogelijke zorg samengesteld. Helaas kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van de werkelijkheid. In sommige gevallen worden foto’s gebruikt van een soortgelijke woning of appartement en dienen als impressie. Aan de teksten, plattegronden, foto’s en maatvoeringen kunnen geen rechten worden ontleend.","€ 25,-",-,-,-,NMG Vastgoed B.V.,-,-,-,-,-,-,-,-,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
197,"Lavendel 446, 5432 DX Cuijk",In verhuur genomen,"€ 740,- p.m.","€ 740,-","€ 15,42",Per datum 01-04-2021,62,-,Takenhofplein 1,6538 SZ  Nijmegen,(+31) 88 200 70 00,nijmegen@nmg.nl,48 m²,-,250 m³,2 kamers (1 slaapkamer),1,"Toilet, Douche, Wastafel",1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Galerijflat,bestaande bouw,0,Aan water en in woonwijk,Geen tuin,Inpandig,Parkeerplaats,"Cuijk
Voor een gemeente met een kleine 25.000 inwoners heeft Cuijk opvallend veel voorzieningen en faciliteiten voor inwoners, ondernemers en toeristen. De charme van zijn kleinschaligheid in combinatie met de veelzijdigheid aan mogelijkheden, maakt Cuijk  tot een uitgelezen plek om te wonen, werken, ondernemen, winkelen en recreëren.
Bereikbaarheid
Ingebed tussen autosnelweg, rivier en spoorlijn, is de situering van Cuijk met recht uniek te noemen. Pal aan de rijksweg A73/E31, zijn er snelle directe verbindingen met Nijmegen en Venlo en richting Randstad. Net over de grens ligt op twintig autominuten airport Weeze. Een half uurtje verderop ligt de luchthaven van Düsseldorf. Vliegveld Eindhoven is slechts 55 kilometer rijden. Via de drukbevaren Maas is Cuijk makkelijk bereikbaar.
Locatie
De appartementen zijn gelegen ten noorden van de stad, in een omgeving met veel groen, aan de Heeswijkse Plas in de wijk Heeswijkse Kampen.
Complex
Het complex bestaat uit vier bouwlagen met appartementen en is gebouwd in 2005. Het bestaat uit 30 appartementen van 8 verschillende types. 
Ieder appartement is voorzien van een videofoon installatie, HR c.v.-ketel, mechanische ventilatie en is volledig geïsoleerd.
De woning
Indeling:
Gelegen op de 3de etage treedt u binnen in de hal. Woonkamer met open keuken welke deels is voorzien van inbouwapparatuur, 1 slaapkamer met aangrenzend balkon, badkamer met douche, toilet en wastafel, inpandige berging met opstelling c.v.-ketel en wasmachine aansluiting. Via een vlizotrap in de slaapkamer heeft u tevens toegang tot een enorme bergruimte (zolderverdieping). Deze ruimte kan enkel gebruikt worden als opslagruimte. 
Huurprijs: € 740 p.m.
Service kosten: € 80 p.m.
Parkeerplaats: € 40 p.m.
Totale huurprijs: € 860 p.m.
De woning is te huur vanaf 1 april 2021. De minimale huurperiode is 12 maanden.
Vragen over deze woning?
Voor vragen over deze woning kunt u contact opnemen met ons kantoor in Nijmegen.
Interesse in deze woning?
Schrijft u zich kosteloos en vrijblijvend in op onze website NMGwonen.nl. Vervolgens kunt u bij de woning klikken op de knop [REAGEER]: u geeft hiermee aan dat u interesse hebt in de woning. Indien er meerdere kandidaten gereageerd hebben, wordt de woning aangeboden aan de best passende kandidaat, waarbij wij de kandidaten beoordelen op volgorde van binnenkomst.
Om in aanmerking te komen voor deze woning dient het bruto maandinkomen minimaal 4x de huurprijs per maand te bedragen. Het inkomen van een eventuele partner mag voor de helft meegerekend worden. Er zal een inkomenstoets plaatsvinden. Tevens voeren wij een creditcheck uit. Voor alle toewijzingscriteria verwijzen wij u naar onze website.
Indien u zich inschrijft via onze website NMGwonen, zullen wij u op basis van de verstrekte informatie automatisch per e-mail informeren over de woningen die beschikbaar komen en voldoen aan uw woonwensen. 
Alle informatie is met de grootst mogelijke zorg samengesteld. Helaas kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van de werkelijkheid. In sommige gevallen worden foto’s gebruikt van een soortgelijke woning of appartement en dienen als impressie. Aan de teksten, plattegronden, foto’s en maatvoeringen kunnen geen rechten worden ontleend.","€ 120,-",-,2001-2010,Op afgesloten terrein,NMG Vastgoed B.V.,-,B (einddatum: 03-11-2020),Dubbel glas,-,-,-,-,-,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,"null, Een privéparkeerplek in de parkeerkelder",-,-,-,-
